Temp,A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
42.0,1149.53088,921.46222,2138.45361,1056.01709,1448.13562,1622.07617,862.77722,1000.99518,565.58575,254.01288,160.93933,114.07819,3153.9458,1201.3291,393.39816,239.07332,218.76898,420.31619
42.0,1149.53088,921.46222,2137.50146,1056.01709,1447.40503,1621.37939,862.77722,1000.04272,564.7522,254.39543,160.31793,114.07819,3153.9458,1201.3291,393.39816,238.24319,218.76898,420.31619
42.0,1149.53088,921.46222,2138.45361,1056.01709,1448.13562,1621.37939,862.27002,1000.51898,564.7522,254.01288,160.93933,114.07819,3150.60474,1201.3291,393.39816,238.24319,218.76898,420.31619
42.0,1149.53088,921.46222,2136.54932,1056.01709,1448.13562,1621.37939,862.27002,1000.04272,565.16901,254.01288,160.31793,114.07819,3153.9458,1201.3291,393.39816,238.24319,218.76898,420.31619
35.33,1353.30762,1096.9342,2395.5249,913.80804,1407.95032,1787.90698,906.90515,1092.90381,581.42383,151.87216,105.01447,85.55864,3322.11182,806.01996,225.52567,151.91116,167.4528,264.46863
35.33,1352.48584,1096.9342,2395.5249,912.89056,1409.41162,1788.60376,907.41235,1093.38013,581.84064,151.87216,105.01447,85.55864,3324.33911,786.51123,225.52567,151.91116,167.4528,264.46863
35.0,1352.48584,1096.9342,2395.5249,912.89056,1408.68091,1785.81665,907.41235,1093.38013,581.00708,152.25471,105.01447,85.55864,3323.22534,806.01996,225.52567,151.91116,168.35309,264.46863
35.0,1353.30762,1096.9342,2392.6687,913.80804,1408.68091,1786.51343,907.41235,1092.90381,581.42383,152.25471,105.01447,85.55864,3324.33911,786.51123,225.52567,151.91116,167.4528,264.46863
35.33,1352.48584,1096.9342,2395.5249,912.89056,1408.68091,1787.90698,906.90515,1093.38013,581.42383,151.87216,105.01447,85.55864,3323.22534,786.51123,225.52567,151.91116,167.4528,264.46863
36.0,1351.66418,1096.9342,2394.57275,912.89056,1407.95032,1787.90698,907.41235,1093.38013,581.42383,152.25471,105.63585,85.55864,3324.33911,809.10028,225.52567,151.91116,167.4528,264.46863
35.67,1352.48584,1097.87256,2395.5249,913.80804,1408.68091,1788.60376,907.41235,1093.85632,581.00708,151.87216,105.01447,85.55864,3325.45288,785.48444,225.52567,151.91116,167.4528,264.46863
35.33,1352.48584,1096.9342,2394.57275,912.89056,1407.95032,1787.90698,907.41235,1092.90381,581.42383,151.87216,105.01447,85.55864,3324.33911,785.48444,225.52567,151.91116,167.4528,264.46863
35.33,1352.48584,1096.9342,2395.5249,912.89056,1408.68091,1788.60376,907.41235,1093.38013,581.42383,151.87216,105.01447,85.55864,3324.33911,807.04675,225.52567,151.91116,168.35309,264.46863
35.0,1352.48584,1096.9342,2394.57275,912.89056,1407.95032,1787.90698,906.90515,1092.90381,581.42383,151.87216,105.01447,85.55864,3323.22534,804.99316,225.52567,151.91116,167.4528,264.46863
42.0,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1718.92688,883.57312,1053.85461,558.91711,150.72452,102.52892,83.65734,3210.74365,768.02924,225.52567,150.25093,159.35025,251.48132
42.0,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1718.92688,883.57312,1054.80701,558.91711,151.10706,102.52892,83.65734,3209.62988,769.05597,225.52567,150.25093,159.35025,251.48132
42.33,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1719.62366,883.57312,1054.33081,559.75073,151.10706,102.52892,83.65734,3207.40259,768.02924,225.52567,150.25093,159.35025,251.48132
42.33,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1718.92688,883.57312,1054.80701,559.75073,150.72452,102.52892,83.65734,3210.74365,769.05597,225.52567,150.25093,159.35025,251.48132
41.67,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1718.92688,883.57312,1054.80701,558.91711,151.10706,102.52892,83.65734,3207.40259,769.05597,225.52567,150.25093,159.35025,251.48132
41.67,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1718.92688,883.57312,1053.85461,559.75073,150.72452,102.52892,83.65734,3207.40259,769.05597,225.52567,150.25093,159.35025,251.48132
42.0,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1718.92688,883.57312,1054.80701,559.75073,151.10706,102.52892,83.65734,3210.74365,769.05597,225.52567,150.25093,159.35025,251.48132
42.0,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1718.92688,883.57312,1054.33081,559.75073,150.72452,102.52892,83.65734,3207.40259,769.05597,225.52567,150.25093,159.35025,251.48132
42.0,1353.30762,1079.10547,2401.23755,932.15759,1344.38428,1719.62366,883.57312,1054.80701,559.33392,150.72452,102.52892,83.65734,3210.74365,769.05597,225.52567,150.25093,159.35025,250.30066
41.67,1353.30762,1079.10547,2400.2854,932.15759,1344.38428,1718.92688,883.57312,1053.85461,559.33392,151.10706,102.52892,83.65734,3207.40259,769.05597,225.52567,150.25093,160.25053,251.48132
35.67,1272.78284,1039.6947,2322.21191,1011.06073,1440.09863,1707.77856,837.92352,1024.80566,631.85559,202.75125,135.46245,101.71972,3464.66284,1020.61639,309.46191,195.9073,200.76331,353.01837
35.33,1273.60461,1040.63306,2318.40356,1011.06073,1440.82922,1708.47534,838.43079,1025.75818,632.2724,203.1338,135.46245,101.71972,3466.89038,1020.61639,310.30975,195.9073,200.76331,353.01837
35.67,1271.96118,1040.63306,2321.25977,1011.06073,1440.82922,1708.47534,838.43079,1025.75818,631.85559,203.1338,135.46245,101.71972,3470.23145,1049.36609,309.46191,195.9073,200.76331,353.01837
35.67,1271.96118,1040.63306,2322.21191,1011.06073,1440.82922,1708.47534,838.43079,1025.28198,631.85559,203.51634,135.46245,101.71972,3466.89038,1021.64313,309.46191,195.9073,200.76331,353.01837
35.33,1271.96118,1039.6947,2322.21191,1011.06073,1440.09863,1708.47534,837.92352,1025.28198,631.85559,203.1338,135.46245,101.71972,3465.77661,1047.31262,310.30975,195.9073,200.76331,353.01837
35.67,1272.78284,1040.63306,2322.21191,1011.06073,1441.55994,1709.17212,838.43079,1025.75818,632.2724,203.1338,135.46245,101.71972,3468.00391,1049.36609,310.30975,195.9073,200.76331,353.01837
36.0,1273.60461,1040.63306,2321.25977,1011.06073,1440.82922,1708.47534,838.43079,1025.75818,632.2724,203.1338,135.46245,101.71972,3470.23145,1049.36609,310.30975,195.9073,200.76331,353.01837
35.33,1272.78284,1039.6947,2322.21191,1011.06073,1440.09863,1707.77856,837.92352,1025.28198,632.2724,202.75125,135.46245,101.71972,3469.11768,1047.31262,310.30975,195.9073,200.76331,353.01837
35.67,1272.78284,1039.6947,2322.21191,1011.06073,1440.82922,1708.47534,837.92352,1025.28198,632.2724,203.1338,135.46245,101.71972,3469.11768,1047.31262,310.30975,195.9073,200.76331,353.01837
35.67,1271.96118,1040.63306,2321.25977,1011.06073,1443.02112,1709.17212,838.43079,1025.28198,631.43878,203.1338,135.46245,101.71972,3466.89038,1049.36609,309.46191,195.9073,200.76331,353.01837
42.0,1260.45764,1014.35913,2313.64282,1027.57532,1367.03418,1633.22449,814.59155,986.70886,607.6817,201.60359,132.35551,100.76907,3342.15796,1000.08081,310.30975,195.07718,190.86018,336.48907
42.0,1260.45764,1014.35913,2313.64282,1027.57532,1367.03418,1633.22449,814.08435,987.18506,607.26489,201.60359,132.35551,100.76907,3342.15796,999.05408,310.30975,195.07718,190.86018,336.48907
42.0,1259.63599,1014.35913,2312.69092,1027.57532,1367.03418,1633.22449,814.59155,987.66125,607.6817,201.60359,132.35551,100.76907,3343.27173,999.05408,310.30975,195.07718,190.86018,335.30841
42.0,1259.63599,1014.35913,2312.69092,1027.57532,1367.03418,1632.52771,814.59155,987.66125,607.6817,201.60359,132.35551,100.76907,3338.81689,1000.08081,310.30975,195.07718,190.86018,336.48907
41.67,1259.63599,1014.35913,2313.64282,1027.57532,1367.03418,1632.52771,814.08435,986.70886,607.26489,201.60359,132.35551,100.76907,3343.27173,1000.08081,310.30975,195.07718,190.86018,336.48907
42.0,1259.63599,1014.35913,2315.54712,1027.57532,1367.03418,1632.52771,814.59155,987.66125,607.26489,201.60359,132.9769,100.76907,3338.81689,1001.1076,310.30975,195.07718,190.86018,336.48907
